ticket_id,thread_id,slack_channel,slack_channel_id,slack_user_id,customer_name,created_at,message_text,source_system,expected_product_area,expected_urgency,expected_sentiment
TCKT-0001,thread-19,support-platform,C903321,U839395,BrightPath AI,2026-04-19T02:17:24.311218+00:00,[BrightPath AI] Production webhook deliveries are failing across multiple tenants.,mock_generator,api,critical,negative
TCKT-0002,thread-17,support-enterprise,C954784,U882652,Acme Health,2026-04-26T11:38:24.311218+00:00,[Acme Health] Slack alerts stopped posting to the incident channel after reconnect.,mock_generator,integrations,medium,negative
TCKT-0003,thread-35,support-auth,C771638,U987439,Maple Bank,2026-04-24T23:41:24.311218+00:00,[Maple Bank] Production webhook deliveries are failing across multiple tenants.,mock_generator,api,critical,negative
TCKT-0004,thread-14,support-platform,C258246,U839842,Acme Health,2026-04-26T05:01:24.311218+00:00,[Acme Health] Production webhook deliveries are failing across multiple tenants.,mock_generator,api,critical,negative
TCKT-0005,thread-38,support-billing,C424219,U529574,Acme Health,2026-04-24T04:02:24.311218+00:00,[Acme Health] The dashboard export button is slow but eventually completes.,mock_generator,dashboard,low,neutral
TCKT-0006,thread-30,support-platform,C815769,U951657,Orbit Logistics,2026-04-22T06:42:24.311218+00:00,[Orbit Logistics] SSO login is failing for all Okta users since this morning.,mock_generator,authentication,high,negative
TCKT-0007,thread-10,support-enterprise,C490272,U699473,BrightPath AI,2026-04-19T00:04:24.311218+00:00,[BrightPath AI] Production webhook deliveries are failing across multiple tenants.,mock_generator,api,critical,negative
TCKT-0008,thread-11,support-enterprise,C493036,U708254,BrightPath AI,2026-04-18T02:48:24.311218+00:00,[BrightPath AI] Customer says they were double charged after upgrading seats.,mock_generator,billing,high,negative
TCKT-0009,thread-13,support-platform,C360644,U652513,Northstar Retail,2026-04-18T10:11:24.311218+00:00,[Northstar Retail] Customer says they were double charged after upgrading seats.,mock_generator,billing,high,negative
TCKT-0010,thread-35,support-auth,C302110,U883834,Acme Health,2026-04-27T02:19:24.311218+00:00,[Acme Health] Customer confirmed the refund appeared and thanked the support team.,mock_generator,billing,low,positive
TCKT-0011,thread-39,support-auth,C434368,U279020,BrightPath AI,2026-04-24T23:54:24.311218+00:00,[BrightPath AI] API requests are timing out intermittently on the create-ticket endpoint.,mock_generator,api,medium,neutral
TCKT-0012,thread-28,support-auth,C451389,U110237,Maple Bank,2026-04-26T15:38:24.311218+00:00,[Maple Bank] Customer confirmed the refund appeared and thanked the support team.,mock_generator,billing,low,positive
TCKT-0013,thread-24,support-auth,C596826,U763855,Acme Health,2026-04-19T16:14:24.311218+00:00,[Acme Health] Customer says they were double charged after upgrading seats.,mock_generator,billing,high,negative
TCKT-0014,thread-18,support-billing,C884539,U850055,BrightPath AI,2026-04-19T22:24:24.311218+00:00,[BrightPath AI] Customer says they were double charged after upgrading seats.,mock_generator,billing,high,negative
